feature,selection_freq,n_selected_folds,n_tested_folds,coef_median_heldout,coef_mean_heldout,OR_median_heldout,p_min_heldout,p_median_heldout,p_agg_bonf,sign_stability,p_fdr,significant_fdr
Ratio_P1_rest,1.0,5,5,-0.655970102116491,-0.6717392226145327,0.5189383950866922,9.227190215321405e-65,5.370553323692918e-51,4.613595107660702e-64,1.0,1.4763504344514247e-62,True
log_nombre_mots,1.0,5,5,-15.128276159994652,-15.976855725238243,2.6907487240504126e-07,3.3026958312165916e-32,1.807322120981826e-17,1.6513479156082957e-31,1.0,2.6421566649732732e-30,True
log_longueur_texte,1.0,5,5,13.952771440625217,14.598150817787058,1147127.3751292478,4.341884269217539e-27,1.691975503497604e-14,2.1709421346087693e-26,1.0,2.315671610249354e-25,True
Automated Readability Index,1.0,5,5,-2.6475731343235394,-2.9326474057244765,0.07082288228922944,8.530878987617901e-22,1.0105790053024134e-08,4.265439493808951e-21,1.0,3.412351595047161e-20,True
Ratio Types/Tokens,1.0,5,5,-0.403885678426263,-0.42442564543583094,0.6677204517585963,1.459493152673125e-17,1.0301630472743559e-10,7.297465763365625e-17,1.0,4.670378088554e-16,True
nombre_mots,1.0,5,5,4.8401715897397075,4.913830348149676,126.49105443518664,2.999463181411366e-15,2.1321833746227515e-06,1.499731590705683e-14,1.0,7.998568483763643e-14,True
Dale-Chall Readability Score,1.0,5,5,-0.7900852368813558,-0.7407097511674026,0.45380611261600473,2.1446290843579898e-13,1.753120131549954e-11,1.0723145421789949e-12,1.0,4.902009335675405e-12,True
longueur_texte,1.0,5,5,-4.224438130337464,-4.368868459520593,0.014633554550495345,6.335449630262652e-13,9.11529804636253e-05,3.167724815131326e-12,1.0,1.2670899260525303e-11,True
noun_adj_verb_ratio,1.0,5,5,0.6880891801356956,0.777666382543028,1.9899095394407171,7.871379989849582e-12,4.152724211333267e-06,3.935689994924791e-11,1.0,1.2645637644972225e-10,True
noun_verb_ratio,1.0,5,5,-0.7576253587271037,-0.7925755635359213,0.46877828662082177,7.90352352810764e-12,5.849001185547157e-07,3.95176176405382e-11,1.0,1.2645637644972225e-10,True
Indice Lix,1.0,5,5,2.160446526964227,2.222330442864104,8.67501041982032,4.2189349861650016e-10,3.03587622645028e-06,2.109467493082501e-09,1.0,6.136632707149094e-09,True
Densité Lexicale,1.0,5,5,0.2942061616852982,0.2902785798102597,1.3420605566144963,1.3698578878073278e-09,7.367816296565628e-08,6.849289439036639e-09,1.0,1.8264771837431036e-08,True
Coleman-Liau Index,1.0,5,5,0.5758317668666937,0.541941205986031,1.778609300116136,7.938290815431992e-06,0.00395389778381478,3.969145407715996e-05,1.0,9.770204080531682e-05,True
log_Indice Lix,1.0,5,5,-1.110109102544092,-1.2204502309646377,0.32952300731546647,5.495703391805459e-05,0.0051979356786689265,0.00027478516959027297,1.0,0.0006280803876349097,True
neutral,1.0,5,5,-0.4416644348369827,-0.3860031906180981,0.6429653560338634,0.00039624611203820266,0.005631600321987403,0.0019812305601910134,1.0,0.004226625195074162,True
Gunning Fog Index,1.0,5,5,1.1479790725702366,1.1422936513778024,3.1518168759309044,0.0004309188406791317,0.004145294937923494,0.0021545942033956585,1.0,0.004309188406791317,True
Flesch Reading Ease,1.0,5,5,0.5990820649516677,0.6435314232675007,1.8204469811095518,0.001555401261771755,0.19694981649588372,0.007777006308858775,0.8,0.014639070699028282,True
Flesch-Kincaid Grade Level,1.0,5,5,1.3307094369929973,1.0767306043285836,3.7837267513462693,0.0019674234700059103,0.14951739753666546,0.009837117350029552,0.8,0.017488208622274758,True
Indice Honore's R,1.0,5,5,0.5975352599878866,0.6368418715433204,1.8176332813662421,0.004622450213193847,0.26402083542116683,0.023112251065969237,1.0,0.037691977330220484,True
fear,1.0,5,5,-0.6400794248285296,-0.577675931434001,0.5272505455958002,0.0047114971662775606,0.036513293415234085,0.023557485831387802,1.0,0.037691977330220484,True
passive_verb_ratio,1.0,5,5,0.09498651863661967,0.08244132463328743,1.099644030325412,0.005707572662356172,0.021381245288111188,0.028537863311780858,1.0,0.04348626790366607,True
Hapax Legomena,1.0,5,5,0.38397337919178093,0.4019655947615276,1.4681063589839576,0.011955426382670872,0.1450952839394924,0.05977713191335436,1.0,0.08694855551033362,False
SMOG Index,1.0,5,5,-0.11776725805005693,-0.1108652253801324,0.8889029135384832,0.023594848589933232,0.41187877086317015,0.11797424294966616,0.8,0.16160721550003918,False
log_Indice Honore's R,1.0,5,5,-0.27019714358607716,-0.3575446082379611,0.7632290137994256,0.024241082325005877,0.6471841018440638,0.12120541162502939,0.8,0.16160721550003918,False
nll,1.0,5,5,0.0361580459258436,0.041345465275307414,1.0368196986717073,0.028348214352153744,0.2756642058700829,0.14174107176076872,0.8,0.18142857185378397,False
longueur_phrase,1.0,5,5,0.2981392357963603,0.28006942659805734,1.3473493740829698,0.038181655372878105,0.20891269760836995,0.19090827686439052,1.0,0.23496403306386526,False
sadness,1.0,5,5,-0.08872144155283886,-0.08923724941221366,0.9151004470337486,0.06717414901107768,0.44657933926068505,0.3358707450553884,0.8,0.3980690311767566,False
anger,1.0,5,5,-0.10147856168676327,-0.07901950036785908,0.903500548662369,0.07285935696216343,0.38511000587774147,0.3642967848108172,0.8,0.4163391826409339,False
log_Hapax Legomena,1.0,5,5,0.4245705234946044,0.47061871943186306,1.5289336375615914,0.1457453375164215,0.5806500448490951,0.7287266875821075,0.8,0.804112206987153,False
surprise,1.0,5,5,-0.050695154373623076,-0.006788565128721047,0.9505684029885703,0.15586115152758606,0.4883205325327429,0.7793057576379303,0.6,0.8312594748137924,False
disgust,1.0,5,5,-0.14805136653679526,-0.07367292548216618,0.8623868159801983,0.16770553280459688,0.45562415838081494,0.8385276640229844,0.6,0.8655769435075968,False
joy,1.0,5,5,-0.02755023869003018,-0.017860336764036484,0.9728258078315503,0.490159523692538,0.642598455471265,1.0,0.6,1.0,False
